split, sceneId, level, roomId, roomType, startX, startY, startZ, startAngle, goalObjectId, goalX, goalY, goalZ, dist, pathDist, pathNumDoors, pathDoorIds, pathNumRooms, pathRoomIndices
train,Marstons,2,,,-2.682,4.720,-3.093,1.574,,-10.850,3.539,-3.076,8.253,9.089,,,,
train,Marstons,0,,,-18.170,-2.302,-0.322,4.024,,-13.274,0.833,-0.351,5.813,8.233,,,,
train,Marstons,5,,,-2.346,0.146,2.418,2.627,,-11.272,2.412,2.364,9.209,10.575,,,,
train,Marstons,0,,,-6.375,-2.832,-0.353,0.042,,-16.233,3.224,-0.310,11.570,16.284,,,,
train,Marstons,0,,,-4.866,4.116,-0.344,3.477,,-6.377,-2.395,-0.343,6.684,8.192,,,,
train,Marstons,0,,,-7.115,3.092,-0.327,6.272,,-13.274,0.833,-0.351,6.560,8.310,,,,
train,Marstons,2,,,-2.430,-2.320,-3.521,1.550,,-13.472,1.235,-3.080,11.609,20.109,,,,
train,Marstons,0,,,-9.615,3.127,-0.324,5.551,,-9.509,-4.405,-0.356,7.532,14.655,,,,
train,Marstons,2,,,-13.673,-0.592,-3.074,3.907,,-1.760,3.737,-3.095,12.675,30.078,,,,
train,Marstons,2,,,-2.430,-2.320,-3.521,1.550,,-9.601,2.273,-3.077,8.528,8.819,,,,
train,Marstons,0,,,-4.537,3.011,-0.357,1.541,,-13.183,3.073,-0.357,8.647,8.647,,,,
train,Marstons,2,,,-7.711,2.252,-3.082,1.808,,-5.976,-3.305,-3.124,5.822,5.822,,,,
train,Marstons,0,,,-18.392,-0.248,-0.342,2.524,,-11.262,-1.438,-0.343,7.228,10.170,,,,
train,Marstons,0,,,-9.509,-4.405,-0.356,3.641,,-12.020,3.092,-0.364,7.907,12.249,,,,
train,Marstons,2,,,-1.967,-0.793,-3.515,1.571,,-12.053,1.884,-3.083,10.444,10.636,,,,
train,Marstons,2,,,-2.430,-2.320,-3.521,1.550,,-13.673,-0.592,-3.074,11.384,21.947,,,,
train,Marstons,2,,,-10.736,2.211,-3.084,1.528,,-2.682,4.720,-3.093,8.436,9.275,,,,
train,Marstons,0,,,-2.324,5.011,-0.320,3.196,,-13.183,3.073,-0.357,11.031,12.205,,,,
train,Marstons,2,,,-2.966,0.641,-3.528,1.855,,-12.309,-3.777,-3.106,10.343,12.099,,,,
train,Newfields,2,,,-3.914,-0.099,-0.279,1.450,,1.816,7.056,-0.268,9.166,11.949,,,,
train,Newfields,2,,,-7.288,1.765,-0.283,6.066,,2.313,5.315,-0.277,10.236,11.777,,,,
train,Newfields,2,,,-3.769,5.563,-0.310,3.833,,1.816,7.056,-0.268,5.781,8.382,,,,
train,Newfields,2,,,-3.769,5.563,-0.310,3.833,,1.333,-0.155,-0.311,7.663,9.777,,,,
train,Newfields,4,,,-0.422,4.507,2.761,0.492,,-4.208,0.626,2.773,5.423,6.826,,,,
train,Newfields,2,,,-5.666,-0.321,-0.276,1.341,,1.751,2.786,-0.284,8.042,9.749,,,,
train,Newfields,2,,,-3.751,5.357,-0.312,6.076,,-1.136,-0.128,-0.281,6.076,7.450,,,,
train,Newfields,2,,,-6.202,6.800,-0.302,6.172,,1.816,7.056,-0.268,8.022,11.112,,,,
train,Newfields,0,,,-0.232,-0.136,-3.346,0.170,,1.012,6.081,-3.340,6.341,6.341,,,,
train,Newfields,2,,,-3.739,3.611,-0.304,5.610,,1.816,7.056,-0.268,6.536,8.235,,,,
train,Newfields,2,,,-3.739,3.611,-0.304,5.610,,2.299,1.477,-0.316,6.404,8.066,,,,
train,Newfields,2,,,-1.390,5.327,-0.293,3.116,,-6.202,6.800,-0.302,5.032,5.120,,,,
train,Newfields,2,,,-5.666,-0.321,-0.276,1.341,,2.299,1.477,-0.316,8.166,8.330,,,,
train,Newfields,2,,,-1.393,5.322,-0.322,6.259,,-7.253,-0.312,-0.268,8.130,9.964,,,,
train,Newfields,2,,,-5.503,2.929,-0.298,4.927,,-0.453,4.086,-0.295,5.182,5.249,,,,
train,Newfields,2,,,-1.390,5.327,-0.293,3.116,,-7.253,-0.312,-0.268,8.135,9.968,,,,
train,Newfields,2,,,2.920,3.436,-0.305,0.350,,-8.111,3.443,-0.288,11.031,11.228,,,,
train,Newfields,2,,,-3.739,3.611,-0.304,5.610,,2.289,5.258,-0.311,6.249,6.661,,,,
train,Newfields,2,,,-7.102,3.483,-0.295,6.078,,1.751,2.786,-0.284,8.881,9.987,,,,
train,Newfields,2,,,-8.111,3.443,-0.288,3.597,,2.313,5.315,-0.277,10.590,11.056,,,,
train,Newfields,2,,,-7.288,1.765,-0.283,6.066,,-0.453,4.086,-0.295,7.218,8.413,,,,
train,Newfields,2,,,-3.751,5.357,-0.312,6.076,,-3.914,-0.099,-0.279,5.458,5.458,,,,
train,Newfields,2,,,-2.718,-0.111,-0.280,0.147,,0.286,4.584,-0.675,5.589,8.302,,,,
train,Newfields,2,,,-3.942,1.590,-0.294,5.253,,1.333,-0.155,-0.311,5.555,6.147,,,,
train,Newfields,2,,,-1.136,-0.128,-0.281,0.756,,-8.247,3.469,-0.318,7.969,8.502,,,,
train,Newfields,2,,,-1.390,5.327,-0.293,3.116,,-3.914,-0.099,-0.279,5.984,6.623,,,,
train,Newfields,2,,,-7.102,3.483,-0.295,6.078,,0.286,4.584,-0.675,7.479,7.479,,,,
train,Newfields,4,,,1.973,0.297,2.775,3.357,,-4.455,1.907,2.756,6.627,14.940,,,,
train,Newfields,2,,,-7.288,1.765,-0.283,6.066,,0.286,4.584,-0.675,8.091,9.207,,,,
train,Newfields,4,,,3.167,5.863,2.762,4.771,,-4.455,1.907,2.756,8.587,9.247,,,,
train,Newfields,2,,,-1.393,5.322,-0.322,6.259,,-5.666,-0.321,-0.276,7.079,8.384,,,,
train,Newfields,2,,,-4.783,6.973,-0.303,5.315,,0.286,4.584,-0.675,5.616,6.336,,,,
train,Newfields,0,,,-0.232,-0.136,-3.346,0.170,,-0.542,5.788,-3.336,5.932,7.923,,,,
train,Newfields,2,,,-7.102,3.483,-0.295,6.078,,-0.094,5.828,-0.318,7.390,8.828,,,,
train,Newfields,2,,,0.090,-0.102,-0.320,0.573,,2.289,5.258,-0.311,5.793,6.459,,,,
train,Newfields,4,,,1.973,0.297,2.775,3.357,,-4.462,4.710,2.746,7.803,13.570,,,,
train,Newfields,2,,,-6.556,5.223,-0.307,5.321,,2.313,5.315,-0.277,8.869,11.214,,,,
train,Newfields,2,,,-7.288,1.765,-0.283,6.066,,2.920,3.436,-0.305,10.344,11.949,,,,
train,Newfields,2,,,-0.094,5.828,-0.318,2.625,,-8.111,3.443,-0.288,8.364,9.831,,,,
train,Newfields,4,,,-3.269,4.294,2.761,4.362,,1.973,0.297,2.775,6.592,12.317,,,,
train,Newfields,2,,,-4.783,6.973,-0.303,5.315,,1.461,4.143,-0.319,6.855,7.156,,,,
train,Newfields,2,,,-3.914,-0.099,-0.279,1.450,,-0.094,5.828,-0.318,7.051,9.237,,,,
train,Newfields,4,,,1.973,0.297,2.775,3.357,,-4.208,0.626,2.773,6.190,16.227,,,,
train,Newfields,2,,,-1.393,5.322,-0.322,6.259,,-6.202,6.800,-0.302,5.031,5.118,,,,
train,Newfields,2,,,2.289,5.258,-0.311,3.874,,-8.111,3.443,-0.288,10.557,10.995,,,,
train,Newfields,2,,,-5.666,-0.321,-0.276,1.341,,2.289,5.258,-0.311,9.717,12.110,,,,
train,Newfields,2,,,-3.739,3.611,-0.304,5.610,,1.901,6.255,-0.273,6.229,7.430,,,,
train,Newfields,2,,,-6.556,5.223,-0.307,5.321,,1.816,7.056,-0.268,8.570,12.727,,,,
train,Newfields,2,,,-8.247,3.469,-0.318,5.420,,1.751,2.786,-0.284,10.022,11.127,,,,
train,Newfields,2,,,-3.751,5.357,-0.312,6.076,,2.299,1.477,-0.316,7.187,8.145,,,,
train,Newfields,2,,,-7.288,1.765,-0.283,6.066,,1.751,2.786,-0.284,9.097,11.715,,,,
train,Newfields,2,,,-5.503,2.929,-0.298,4.927,,0.090,-0.102,-0.320,6.362,6.932,,,,
train,Newfields,2,,,-6.556,5.223,-0.307,5.321,,1.461,4.143,-0.319,8.089,9.764,,,,
train,Newfields,2,,,-2.288,4.071,-0.294,4.206,,-8.111,3.443,-0.288,5.856,5.856,,,,
train,Newfields,2,,,-4.783,6.973,-0.303,5.315,,-0.453,4.086,-0.295,5.204,5.367,,,,
train,Newfields,4,,,3.167,5.863,2.762,4.771,,-4.206,5.928,2.746,7.373,9.122,,,,
train,Newfields,2,,,-2.288,4.071,-0.294,4.206,,1.816,7.056,-0.268,5.075,6.713,,,,
train,Newfields,2,,,-3.751,5.357,-0.312,6.076,,2.289,5.258,-0.311,6.041,6.740,,,,
train,Newfields,2,,,-2.718,-0.111,-0.280,0.147,,2.299,1.477,-0.316,5.263,5.374,,,,
train,Newfields,2,,,-1.390,5.327,-0.293,3.116,,-2.718,-0.111,-0.280,5.598,7.035,,,,
train,Newfields,2,,,-2.311,4.087,-0.296,0.747,,-7.288,1.765,-0.283,5.491,6.557,,,,
train,Newfields,2,,,-5.503,2.929,-0.298,4.927,,1.901,6.255,-0.273,8.117,9.322,,,,
train,Newfields,0,,,-0.232,-0.136,-3.346,0.170,,1.040,4.798,-3.348,5.096,5.096,,,,
train,Newfields,4,,,3.167,5.863,2.762,4.771,,-2.883,7.086,2.750,6.173,10.881,,,,
train,Newfields,2,,,2.299,1.477,-0.316,0.241,,1.816,7.056,-0.268,5.600,5.600,,,,
train,Newfields,2,,,-5.503,2.929,-0.298,4.927,,0.286,4.584,-0.675,6.033,6.066,,,,
train,Newfields,2,,,-3.751,5.357,-0.312,6.076,,2.920,3.436,-0.305,6.942,6.973,,,,
train,Newfields,2,,,-1.136,-0.128,-0.281,0.756,,1.816,7.056,-0.268,7.766,9.391,,,,
train,Newfields,2,,,-7.288,1.765,-0.283,6.066,,2.299,1.477,-0.316,9.591,11.990,,,,
train,Newfields,2,,,-8.111,3.443,-0.288,3.597,,1.901,6.255,-0.273,10.399,11.764,,,,
train,Newfields,2,,,-8.111,3.443,-0.288,3.597,,1.816,7.056,-0.268,10.564,12.569,,,,
train,Newfields,0,,,-0.169,1.864,-3.354,0.036,,1.698,7.785,-3.323,6.208,6.208,,,,
train,Newfields,2,,,-2.718,-0.111,-0.280,0.147,,2.289,5.258,-0.311,7.342,9.155,,,,
train,Newfields,2,,,-2.311,4.087,-0.296,0.747,,-7.253,-0.312,-0.268,6.616,8.565,,,,
train,Newfields,2,,,-6.556,5.223,-0.307,5.321,,0.090,-0.102,-0.320,8.516,10.447,,,,
train,Newfields,2,,,2.299,1.477,-0.316,0.241,,-8.247,3.469,-0.318,10.733,12.294,,,,
train,Newfields,2,,,-7.253,-0.312,-0.268,4.840,,1.816,7.056,-0.268,11.685,15.295,,,,
train,Newfields,2,,,0.286,4.584,-0.675,0.884,,-8.247,3.469,-0.318,8.613,8.613,,,,
train,Newfields,2,,,-1.390,5.327,-0.293,3.116,,-8.247,3.469,-0.318,7.104,7.419,,,,
train,Newfields,2,,,-5.503,2.929,-0.298,4.927,,2.289,5.258,-0.311,8.133,8.553,,,,
train,Newfields,2,,,-3.769,5.563,-0.310,3.833,,2.299,1.477,-0.316,7.316,8.213,,,,
train,Newfields,2,,,-4.783,6.973,-0.303,5.315,,2.313,5.315,-0.277,7.287,8.606,,,,
train,Newfields,2,,,-6.202,6.800,-0.302,6.172,,-1.136,-0.128,-0.281,8.582,10.294,,,,
train,Newfields,2,,,-3.942,1.590,-0.294,5.253,,1.901,6.255,-0.273,7.476,9.461,,,,
train,Newfields,2,,,0.090,-0.102,-0.320,0.573,,1.816,7.056,-0.268,7.363,8.315,,,,
train,Newfields,2,,,0.090,-0.102,-0.320,0.573,,-8.111,3.443,-0.288,8.934,9.589,,,,
train,Newfields,2,,,-0.094,5.828,-0.318,2.625,,0.090,-0.102,-0.320,5.932,8.163,,,,
train,Newfields,4,,,1.118,5.043,2.766,1.638,,-4.390,3.078,2.749,5.847,5.881,,,,
train,Newfields,2,,,-3.769,5.563,-0.310,3.833,,2.313,5.315,-0.277,6.087,6.869,,,,
train,Newfields,2,,,-4.783,6.973,-0.303,5.315,,-1.136,-0.128,-0.281,7.983,9.230,,,,
train,Newfields,2,,,-0.453,4.086,-0.295,0.730,,-8.111,3.443,-0.288,7.685,7.692,,,,
train,Newfields,2,,,-6.556,5.223,-0.307,5.321,,-5.666,-0.321,-0.276,5.616,7.166,,,,
train,Newfields,2,,,-6.556,5.223,-0.307,5.321,,0.286,4.584,-0.675,6.881,8.942,,,,
train,Newfields,2,,,-5.666,-0.321,-0.276,1.341,,0.090,-0.102,-0.320,5.760,5.764,,,,
train,Newfields,2,,,-6.202,6.800,-0.302,6.172,,-5.666,-0.321,-0.276,7.141,8.776,,,,
train,Newfields,2,,,-4.783,6.973,-0.303,5.315,,-7.253,-0.312,-0.268,7.693,8.619,,,,
train,Newfields,2,,,-6.202,6.800,-0.302,6.172,,1.901,6.255,-0.273,8.121,10.307,,,,
train,Newfields,2,,,-3.769,5.563,-0.310,3.833,,0.090,-0.102,-0.320,6.854,8.881,,,,
train,Newfields,2,,,-1.136,-0.128,-0.281,0.756,,-0.094,5.828,-0.318,6.046,9.239,,,,
train,Newfields,4,,,-1.729,4.358,2.760,5.379,,3.167,5.863,2.762,5.121,5.121,,,,
val,Corozal,1,,,-6.133,3.715,-0.304,4.424,,1.107,-3.806,-0.272,10.439,12.562,,,,
val,Corozal,1,,,-7.108,-1.284,1.203,6.040,,-6.118,4.232,-0.303,5.803,10.130,,,,
val,Corozal,1,,,-1.004,-0.209,-0.295,1.585,,-1.805,7.034,-0.310,7.287,8.892,,,,
val,Corozal,1,,,-7.108,-1.284,1.203,6.040,,1.107,-3.806,-0.272,8.719,13.379,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,-3.673,8.413,-0.798,8.535,9.729,,,,
val,Corozal,1,,,-2.243,-2.400,-0.285,1.066,,-7.672,1.480,-0.294,6.673,12.487,,,,
val,Corozal,1,,,-5.994,0.014,0.605,2.951,,-3.681,7.500,-0.306,7.888,9.947,,,,
val,Corozal,1,,,-7.634,3.291,-0.296,5.206,,-1.805,7.034,-0.310,6.928,6.928,,,,
val,Corozal,1,,,-0.933,-2.322,-0.284,1.421,,-7.097,6.792,-0.292,11.003,11.492,,,,
val,Corozal,1,,,-5.037,-1.279,2.151,5.913,,0.819,0.328,-0.356,6.570,11.512,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,-3.150,9.032,-0.338,9.216,10.351,,,,
val,Corozal,0,,,-1.107,0.151,2.700,1.395,,-3.710,7.721,2.766,8.005,10.546,,,,
val,Corozal,1,,,-5.994,0.014,0.605,2.951,,-3.150,9.032,-0.338,9.502,11.496,,,,
val,Corozal,1,,,-2.243,-2.400,-0.285,1.066,,-1.805,7.034,-0.310,9.444,12.189,,,,
val,Corozal,1,,,-6.071,-1.288,1.388,5.968,,-7.425,8.015,-0.299,9.551,14.982,,,,
val,Corozal,1,,,-6.133,3.715,-0.304,4.424,,1.233,-1.421,-0.315,8.979,10.215,,,,
val,Corozal,1,,,-3.682,3.994,-0.329,1.438,,0.819,0.328,-0.356,5.805,7.300,,,,
val,Corozal,1,,,-3.963,-2.376,-0.277,1.242,,-3.673,8.413,-0.798,10.805,10.805,,,,
val,Corozal,1,,,-7.672,1.480,-0.294,2.415,,-7.097,6.792,-0.292,5.343,6.150,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,-6.096,5.684,-0.302,5.779,7.689,,,,
val,Corozal,1,,,-7.425,8.015,-0.299,3.510,,1.071,4.108,-0.305,9.351,11.230,,,,
val,Corozal,1,,,-4.894,2.385,-0.308,3.029,,0.819,0.328,-0.356,6.072,6.534,,,,
val,Corozal,1,,,-0.933,-2.322,-0.284,1.421,,-7.425,8.015,-0.299,12.207,12.696,,,,
val,Corozal,1,,,-3.682,3.994,-0.329,1.438,,1.233,-1.421,-0.315,7.313,9.098,,,,
val,Corozal,1,,,-0.330,7.092,-0.308,0.837,,0.819,0.328,-0.356,6.861,9.366,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,-1.805,7.034,-0.310,7.726,9.393,,,,
val,Corozal,1,,,-2.284,5.763,-0.311,0.297,,-7.428,9.525,-0.296,6.373,7.675,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,-7.428,9.525,-0.296,9.819,11.881,,,,
val,Corozal,1,,,-3.963,-2.376,-0.277,1.242,,-7.425,8.015,-0.299,10.952,11.454,,,,
val,Corozal,1,,,-3.963,-2.376,-0.277,1.242,,-5.266,3.427,-0.310,5.948,6.483,,,,
val,Corozal,1,,,-7.428,9.525,-0.296,3.625,,-0.330,7.092,-0.308,7.503,9.954,,,,
val,Corozal,1,,,-3.963,-2.376,-0.277,1.242,,1.107,-3.806,-0.272,5.267,11.088,,,,
val,Corozal,1,,,-3.682,3.994,-0.329,1.438,,1.107,-3.806,-0.272,9.153,11.445,,,,
val,Corozal,1,,,-5.994,0.014,0.605,2.951,,-0.330,7.092,-0.308,9.111,11.877,,,,
val,Corozal,1,,,-2.631,0.291,-0.321,1.675,,-3.673,8.413,-0.798,8.202,8.288,,,,
val,Corozal,1,,,-6.999,-0.034,1.199,6.057,,-0.556,4.976,-0.312,8.300,12.630,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,1.107,-3.806,-0.272,7.214,9.992,,,,
val,Corozal,0,,,-4.250,-1.277,2.719,2.350,,-3.710,7.721,2.766,9.014,9.014,,,,
val,Corozal,1,,,-6.071,-1.288,1.388,5.968,,-0.556,4.976,-0.312,8.517,14.939,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,0.783,2.408,-0.293,6.277,7.189,,,,
val,Corozal,1,,,-2.631,0.291,-0.321,1.675,,-6.096,5.684,-0.302,6.410,6.410,,,,
val,Corozal,1,,,-5.277,1.490,-0.304,5.246,,-7.428,9.525,-0.296,8.318,8.518,,,,
val,Corozal,1,,,-3.963,-2.376,-0.277,1.242,,-2.284,5.763,-0.311,8.310,9.591,,,,
val,Corozal,1,,,-0.933,-2.322,-0.284,1.421,,1.071,4.108,-0.305,6.735,6.904,,,,
val,Corozal,1,,,-2.284,5.763,-0.311,0.297,,-7.425,8.015,-0.299,5.613,6.188,,,,
val,Corozal,1,,,-7.634,3.291,-0.296,5.206,,1.071,4.108,-0.305,8.744,11.031,,,,
val,Corozal,1,,,-6.999,-0.034,1.199,6.057,,-1.805,7.034,-0.310,8.900,11.696,,,,
val,Corozal,1,,,-2.243,-2.400,-0.285,1.066,,-6.096,5.684,-0.302,8.954,10.492,,,,
val,Corozal,1,,,-5.277,1.490,-0.304,5.246,,-7.097,6.792,-0.292,5.606,5.768,,,,
val,Corozal,1,,,-6.118,4.232,-0.303,5.271,,1.233,-1.421,-0.315,9.273,10.472,,,,
val,Corozal,1,,,-0.933,-2.322,-0.284,1.421,,-6.096,5.684,-0.302,9.526,10.014,,,,
val,Corozal,1,,,-6.999,-0.034,1.199,6.057,,-0.933,-2.322,-0.284,6.651,8.358,,,,
val,Corozal,1,,,-7.108,-1.284,1.203,6.040,,0.783,2.408,-0.293,8.840,10.668,,,,
val,Corozal,1,,,-3.679,1.884,-0.324,1.498,,-7.428,9.525,-0.296,8.512,8.695,,,,
val,Corozal,1,,,-3.712,0.012,-0.309,2.950,,-3.681,7.500,-0.306,7.489,7.489,,,,
val,Corozal,1,,,-6.118,4.232,-0.303,5.271,,-0.330,7.092,-0.308,6.456,6.484,,,,
val,Corozal,1,,,-7.634,3.291,-0.296,5.206,,-2.284,5.763,-0.311,5.894,6.051,,,,
val,Corozal,1,,,-6.071,-1.288,1.388,5.968,,-1.004,-0.209,-0.295,5.447,8.553,,,,
val,Corozal,1,,,-7.425,8.015,-0.299,3.510,,1.107,-3.806,-0.272,14.578,16.628,,,,
val,Corozal,1,,,-7.108,-1.284,1.203,6.040,,-7.428,9.525,-0.296,10.917,15.439,,,,
val,Corozal,1,,,-3.712,0.012,-0.309,2.950,,-3.673,8.413,-0.798,8.415,8.415,,,,
val,Corozal,1,,,-6.096,5.684,-0.302,2.276,,-0.556,4.976,-0.312,5.585,5.585,,,,
val,Corozal,1,,,0.819,0.328,-0.356,0.972,,-3.150,9.032,-0.338,9.565,12.365,,,,
val,Corozal,1,,,-7.108,-1.284,1.203,6.040,,-3.150,9.032,-0.338,11.156,13.909,,,,
val,Corozal,1,,,-7.108,-1.284,1.203,6.040,,-3.681,7.500,-0.306,9.549,12.360,,,,
val,Corozal,1,,,-7.097,6.792,-0.292,3.054,,-1.805,7.034,-0.310,5.298,5.861,,,,
val,Corozal,1,,,-3.993,-1.476,-0.300,1.225,,-3.150,9.032,-0.338,10.541,10.541,,,,
val,Corozal,1,,,-6.118,4.232,-0.303,5.271,,-0.556,4.976,-0.312,5.612,6.078,,,,
val,Corozal,1,,,-1.004,-0.209,-0.295,1.585,,-3.780,5.717,-0.306,6.544,7.231,,,,
val,Corozal,0,,,0.134,-0.118,2.704,1.598,,-3.695,3.662,2.716,5.381,7.701,,,,
val,Corozal,1,,,-6.999,-0.034,1.199,6.057,,-7.097,6.792,-0.292,6.987,11.470,,,,
val,Corozal,1,,,-5.994,0.014,0.605,2.951,,1.107,-3.806,-0.272,8.111,11.033,,,,
val,Corozal,1,,,-3.679,1.884,-0.324,1.498,,-3.673,8.413,-0.798,6.546,6.546,,,,
val,Corozal,1,,,-6.999,-0.034,1.199,6.057,,1.233,-1.421,-0.315,8.484,9.777,,,,
val,Corozal,1,,,-2.243,-2.400,-0.285,1.066,,-7.097,6.792,-0.292,10.394,11.970,,,,
val,Corozal,1,,,-6.096,5.684,-0.302,2.276,,0.819,0.328,-0.356,8.746,9.801,,,,
val,Corozal,1,,,-1.004,-0.209,-0.295,1.585,,-6.118,4.232,-0.303,6.773,6.773,,,,
val,Corozal,1,,,-7.425,8.015,-0.299,3.510,,-1.805,7.034,-0.310,5.706,7.127,,,,
val,Corozal,1,,,-3.679,1.884,-0.324,1.498,,-3.681,7.500,-0.306,5.617,5.617,,,,
val,Corozal,1,,,-3.780,5.717,-0.306,3.161,,-7.428,9.525,-0.296,5.274,6.240,,,,
val,Corozal,1,,,1.071,4.108,-0.305,3.852,,-3.673,8.413,-0.798,6.425,9.219,,,,
val,Corozal,1,,,-1.004,-0.209,-0.295,1.585,,-6.096,5.684,-0.302,7.788,7.900,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,1.233,-1.421,-0.315,6.412,7.645,,,,
val,Corozal,1,,,-5.277,1.490,-0.304,5.246,,-0.556,4.976,-0.312,5.869,8.003,,,,
val,Corozal,1,,,-3.993,-1.476,-0.300,1.225,,-3.673,8.413,-0.798,9.906,9.906,,,,
val,Corozal,1,,,-6.133,3.715,-0.304,4.424,,-0.556,4.976,-0.312,5.718,6.595,,,,
val,Corozal,1,,,-7.672,1.480,-0.294,2.415,,-0.556,4.976,-0.312,7.928,9.674,,,,
val,Corozal,1,,,-3.682,3.994,-0.329,1.438,,-7.428,9.525,-0.296,6.680,7.966,,,,
val,Corozal,1,,,-2.243,-2.400,-0.285,1.066,,-2.284,5.763,-0.311,8.162,11.311,,,,
val,Corozal,1,,,-7.634,3.291,-0.296,5.206,,-3.150,9.032,-0.338,7.284,7.483,,,,
val,Corozal,1,,,-5.015,0.009,-0.144,2.907,,1.071,4.108,-0.305,7.340,8.810,,,,
val,Corozal,1,,,-3.963,-2.376,-0.277,1.242,,1.233,-1.421,-0.315,5.283,8.741,,,,
val,Corozal,1,,,-6.999,-0.034,1.199,6.057,,-3.673,8.413,-0.798,9.294,12.031,,,,
val,Corozal,1,,,-6.071,-1.288,1.388,5.968,,-7.097,6.792,-0.292,8.316,13.779,,,,
val,Corozal,1,,,-1.805,7.034,-0.310,2.217,,0.819,0.328,-0.356,7.200,7.891,,,,
val,Corozal,1,,,-5.266,3.427,-0.310,0.725,,-3.673,8.413,-0.798,5.256,6.286,,,,
val,Corozal,1,,,-3.993,-1.476,-0.300,1.225,,-2.284,5.763,-0.311,7.438,8.693,,,,
val,Corozal,1,,,-5.037,-1.279,2.151,5.913,,-5.266,3.427,-0.310,5.316,11.235,,,,
val,Corozal,1,,,-1.004,-0.209,-0.295,1.585,,-2.284,5.763,-0.311,6.107,8.728,,,,
val,Corozal,1,,,-5.037,-1.279,2.151,5.913,,-7.634,3.291,-0.296,5.798,13.708,,,,
train,Pinesdale,0,,,0.047,-0.183,-1.732,1.573,,-6.742,4.797,-1.733,8.420,14.806,,,,
train,Pinesdale,2,,,-2.172,9.973,-0.393,5.212,,-4.984,15.028,-0.353,5.784,6.108,,,,
train,Pinesdale,2,,,0.076,9.682,-0.388,0.178,,-0.901,15.569,-0.365,5.967,5.982,,,,
train,Pinesdale,2,,,-3.805,10.369,-0.391,5.326,,-5.750,16.366,-0.346,6.304,7.464,,,,
train,Pinesdale,5,,,-1.118,8.636,1.713,0.056,,-3.745,13.800,2.282,5.822,6.922,,,,
train,Pinesdale,2,,,-3.805,10.369,-0.391,5.326,,0.643,15.842,-0.357,7.053,10.583,,,,
train,Pinesdale,2,,,-0.825,11.298,-0.392,3.467,,2.177,16.512,-0.344,6.017,7.491,,,,
train,Pinesdale,2,,,-1.107,9.721,-0.389,4.403,,0.061,19.965,-0.529,10.312,10.312,,,,
train,Pinesdale,2,,,-0.825,11.298,-0.392,3.467,,0.061,19.965,-0.529,8.714,8.714,,,,
train,Pinesdale,2,,,-2.172,9.973,-0.393,5.212,,-3.812,17.544,-0.355,7.746,10.616,,,,
train,Pinesdale,2,,,-2.172,9.973,-0.393,5.212,,-2.143,17.700,-0.541,7.728,8.981,,,,
train,Pinesdale,2,,,-4.962,13.953,-0.364,3.109,,0.061,19.965,-0.529,7.836,8.689,,,,
train,Pinesdale,2,,,-2.172,9.973,-0.393,5.212,,-0.901,15.569,-0.365,5.738,6.161,,,,
train,Pinesdale,2,,,0.076,9.682,-0.388,0.178,,-4.984,15.028,-0.353,7.360,9.847,,,,
train,Pinesdale,0,,,0.047,-0.183,-1.732,1.573,,-1.524,7.878,-1.520,8.215,8.742,,,,
train,Pinesdale,2,,,-1.107,9.721,-0.389,4.403,,2.177,16.512,-0.344,7.544,9.071,,,,
train,Pinesdale,2,,,-2.812,11.312,-0.396,3.551,,-2.588,16.727,-0.362,5.420,8.086,,,,
train,Pinesdale,0,,,0.047,-0.183,-1.732,1.573,,-5.088,4.880,-1.743,7.212,13.405,,,,
train,Pinesdale,2,,,-4.828,12.720,-0.362,2.576,,-0.960,17.134,-0.543,5.872,7.220,,,,
train,Pinesdale,2,,,-3.805,10.369,-0.391,5.326,,-3.200,18.806,-0.537,8.459,11.630,,,,
train,Pinesdale,2,,,0.076,9.682,-0.388,0.178,,-2.143,17.700,-0.541,8.320,8.802,,,,
train,Pinesdale,5,,,-1.118,8.636,1.713,0.056,,-5.279,13.255,2.280,6.243,8.550,,,,
train,Pinesdale,2,,,-3.201,12.571,-0.394,3.795,,-2.143,17.700,-0.541,5.239,7.843,,,,
train,Pinesdale,5,,,-1.118,8.636,1.713,0.056,,-2.631,13.830,2.286,5.440,5.808,,,,
train,Pinesdale,2,,,-2.172,9.973,-0.393,5.212,,-5.750,16.366,-0.346,7.326,7.572,,,,
train,Pinesdale,2,,,-2.172,9.973,-0.393,5.212,,0.643,15.842,-0.357,6.509,7.729,,,,
train,Pinesdale,2,,,0.076,9.682,-0.388,0.178,,-3.812,17.544,-0.355,8.770,10.442,,,,
train,Pinesdale,2,,,-4.984,15.028,-0.353,0.514,,-0.935,18.589,-0.543,5.396,5.917,,,,
train,Pinesdale,0,,,-1.114,1.189,-1.729,0.323,,-0.598,6.908,-1.694,5.743,5.743,,,,
